complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.2,0.0023,0,[],[],595.28,0.0,0.172,12,TEXT_TABLE_FAST,222,"good_text_layer,simple_table_signal",12,0.51,804,0.003219,0.8,0,419.53
0.4146,0.0042,0,[],[],595.28,0.0,0.1667,28,TEXT_TABLE_FAST,223,"good_text_layer,simple_table_signal",28,0.7875,1427,0.005714,0.9736,0,419.53
0.7896,0.0034,0,[],[],595.28,0.0,0.217,63,TEXT_TABLE_ACCURATE,224,"good_text_layer,complex_table_signal",63,0.975,933,0.003736,0.9372,0,419.53
0.8854,0.0069,0,[],[],595.28,0.0,0.2625,91,TEXT_TABLE_ACCURATE,225,"good_text_layer,complex_table_signal",91,0.9625,2205,0.008829,0.8,0,419.53
0.7333,0.0078,0,[],[],595.28,0.0,0.265,54,TEXT_TABLE_ACCURATE,226,"good_text_layer,complex_table_signal",54,0.975,2435,0.00975,0.8,0,419.53
0.7583,0.006,0,[],[],595.28,0.0,0.265,58,TEXT_TABLE_ACCURATE,227,"good_text_layer,complex_table_signal",58,0.975,1931,0.007732,0.8,0,419.53
0.3083,0.0083,0,[],[],595.28,0.0,0.206,16,TEXT_TABLE_FAST,228,"good_text_layer,simple_table_signal",16,0.68,3496,0.013999,0.8,0,419.53
0.5896,0.0054,0,[],[],595.28,0.0,0.25,41,TEXT_TABLE_FAST,229,"good_text_layer,simple_table_signal",41,0.9,1818,0.00728,0.8,0,419.53
0.1688,0.006,0,[],[],595.28,0.0,0.1645,12,TEXT_TABLE_FAST,230,"good_text_layer,simple_table_signal",12,0.4725,2246,0.008994,0.8,0,419.53
0.1958,0.0044,0,[],[],595.28,0.0,0.1185,18,TEXT_TABLE_FAST,231,"good_text_layer,simple_table_signal",18,0.565,1654,0.006623,0.9844,0,419.53
0.7146,0.0042,0,[],[],595.28,0.0,0.2562,51,TEXT_TABLE_ACCURATE,232,"good_text_layer,complex_table_signal",51,0.975,1089,0.004361,0.8252,0,419.53
0.5896,0.0029,0,[],[],595.28,0.0,0.2009,41,TEXT_TABLE_FAST,233,"good_text_layer,simple_table_signal",41,0.9,844,0.00338,0.9403,0,419.53
0.5229,0.0046,0,[],[],595.28,0.0,0.2168,32,TEXT_TABLE_FAST,234,"good_text_layer,simple_table_signal",32,0.8875,1355,0.005426,0.8876,0,419.53
0.5,0.0043,0,[],[],595.28,0.0,0.1988,20,TEXT_TABLE_FAST,235,"good_text_layer,simple_table_signal",20,0.95,1277,0.005113,0.9749,0,419.53
0.5625,0.0046,0,[],[],595.28,0.0,0.2046,40,TEXT_TABLE_FAST,236,"good_text_layer,simple_table_signal",40,0.875,1576,0.006311,0.9154,0,419.53
0.3438,0.0026,0,[],[],595.28,0.0,0.1587,20,TEXT_TABLE_FAST,237,"good_text_layer,simple_table_signal",20,0.7625,936,0.003748,0.9824,0,419.53
0.2625,0.0031,0,[],[],595.28,0.0,0.1301,12,TEXT_TABLE_FAST,238,"good_text_layer,simple_table_signal",12,0.585,1100,0.004405,0.9626,0,419.53
0.4021,0.0038,0,[],[],595.28,0.0,0.1908,26,TEXT_TABLE_FAST,239,"good_text_layer,simple_table_signal",26,0.7875,1448,0.005798,0.9048,0,419.53
0.2646,0.0029,0,[],[],595.28,0.0,0.1603,24,TEXT_TABLE_FAST,240,"good_text_layer,simple_table_signal",24,0.6375,1156,0.004629,0.9062,0,419.53
0.2521,0.0048,0,[],[],595.28,0.0,0.141,12,TEXT_TABLE_FAST,241,"good_text_layer,simple_table_signal",12,0.5725,2079,0.008325,0.9242,0,419.53
0.2396,0.0024,0,[],[],595.28,0.0,0.1588,15,TEXT_TABLE_FAST,242,"good_text_layer,simple_table_signal",15,0.5875,1115,0.004465,0.8819,0,419.53
0.4854,0.0046,0,[],[],595.28,0.0,0.2069,21,TEXT_TABLE_FAST,243,"good_text_layer,simple_table_signal",21,0.925,1549,0.006203,0.9373,0,419.53
0.4854,0.0041,0,[],[],595.28,0.0,0.212,31,TEXT_TABLE_FAST,244,"good_text_layer,simple_table_signal",31,0.85,1288,0.005157,0.88,0,419.53
0.3688,0.0039,0,[],[],595.28,0.0,0.2146,29,TEXT_TABLE_FAST,245,"good_text_layer,simple_table_signal",29,0.725,1681,0.006731,0.8011,0,419.53
0.2188,0.005,0,[],[],595.28,0.0,0.1199,10,TEXT_TABLE_FAST,246,"good_text_layer,simple_table_signal",10,0.5125,1460,0.005846,0.9504,0,419.53
0.4938,0.0034,0,[],[],595.28,0.0,0.245,29,TEXT_TABLE_FAST,247,"good_text_layer,simple_table_signal",29,0.875,1138,0.004557,0.8,0,419.53
0.4292,0.0038,0,[],[],595.28,0.0,0.1867,22,TEXT_TABLE_FAST,248,"good_text_layer,simple_table_signal",22,0.85,1395,0.005586,0.9522,0,419.53
0.4135,0.0062,0,[],[],595.28,0.0,0.2022,14,TEXT_TABLE_FAST,249,"good_text_layer,simple_table_signal",15,0.7913,2341,0.009374,0.8745,0,419.53
0.4688,0.0052,0,[],[],595.28,0.0,0.1881,30,TEXT_TABLE_FAST,250,"good_text_layer,simple_table_signal",30,0.8375,1640,0.006567,0.9411,0,419.53
0.4875,0.0049,0,[],[],595.28,0.0,0.2046,18,TEXT_TABLE_FAST,251,"good_text_layer,simple_table_signal",18,0.915,1654,0.006623,0.9383,0,419.53
0.3271,0.0039,0,[],[],595.28,0.0,0.1787,14,TEXT_TABLE_FAST,252,"good_text_layer,simple_table_signal",14,0.6825,1324,0.005302,0.8795,0,419.53
0.7333,0.0069,0,[],[],595.28,0.0,0.2149,69,TEXT_TABLE_ACCURATE,253,"good_text_layer,complex_table_signal",69,0.8625,2110,0.008449,0.8788,0,419.53
0.6396,0.0049,0,[],[],595.28,0.0,0.2313,34,TEXT_TABLE_ACCURATE,254,"good_text_layer,complex_table_signal",34,1.0,1275,0.005105,0.9106,0,419.53
0.8812,0.0068,0,[],[],595.28,0.0,0.2334,61,TEXT_TABLE_ACCURATE,255,"good_text_layer,complex_table_signal",61,1.0,1928,0.00772,0.9046,0,419.53
0.6854,0.0033,0,[],[],595.28,0.0,0.2219,68,TEXT_TABLE_ACCURATE,256,"good_text_layer,complex_table_signal",68,0.8125,1209,0.004841,0.8304,0,419.53
0.5917,0.0038,0,[],[],595.28,0.0,0.204,38,TEXT_TABLE_FAST,257,"good_text_layer,simple_table_signal",38,0.925,1418,0.005678,0.9456,0,419.53
0.8958,0.0055,0,[],[],595.28,0.0,0.2463,103,TEXT_TABLE_ACCURATE,258,"good_text_layer,complex_table_signal",103,0.975,1744,0.006983,0.8535,0,419.53
0.6896,0.006,0,[],[],595.28,0.0,0.2151,52,TEXT_TABLE_ACCURATE,259,"good_text_layer,complex_table_signal",52,0.9375,1639,0.006563,0.9212,0,419.53
0.5104,0.004,0,[],[],595.28,0.0,0.1856,30,TEXT_TABLE_FAST,260,"good_text_layer,simple_table_signal",30,0.8875,1150,0.004605,0.9768,0,419.53
0.6375,0.0033,0,[],[],595.28,0.0,0.1986,52,TEXT_TABLE_ACCURATE,261,"good_text_layer,complex_table_signal",52,0.875,1028,0.004116,0.9327,0,419.53
0.6583,0.0058,0,[],[],595.28,0.0,0.1994,57,TEXT_TABLE_ACCURATE,262,"good_text_layer,complex_table_signal",57,0.8625,1569,0.006283,0.9231,0,419.53
0.1833,0.0071,0,[],[],595.28,0.0,0.1486,16,TEXT_TABLE_FAST,263,"good_text_layer,simple_table_signal",16,0.53,3016,0.012077,0.8782,0,419.53
0.9417,0.0075,0,[],[],595.28,0.0,0.2306,79,TEXT_TABLE_ACCURATE,264,"good_text_layer,complex_table_signal",79,1.0,1774,0.007104,0.9126,0,419.53
0.8063,0.0046,0,[],[],595.28,0.0,0.2191,59,TEXT_TABLE_ACCURATE,265,"good_text_layer,complex_table_signal",59,1.0,1366,0.00547,0.9455,0,419.53
0.8521,0.0042,0,[],[],595.28,0.0,0.2254,78,TEXT_TABLE_ACCURATE,266,"good_text_layer,complex_table_signal",78,0.9375,1273,0.005097,0.8918,0,419.53
0.325,0.0034,0,[],[],595.28,0.0,0.2,32,TEXT_TABLE_FAST,267,"good_text_layer,simple_table_signal",32,0.65,1791,0.007172,0.8,0,419.53
0.3042,0.004,0,[],[],595.28,0.0,0.197,12,TEXT_TABLE_FAST,268,"good_text_layer,simple_table_signal",12,0.635,1454,0.005822,0.8,0,419.53
0.3646,0.0027,0,[],[],595.28,0.0,0.1698,25,TEXT_TABLE_FAST,269,"good_text_layer,simple_table_signal",25,0.75,908,0.003636,0.9434,0,419.53
0.1479,0.0025,0,[],[],595.28,0.0,0.1168,12,TEXT_TABLE_FAST,270,"good_text_layer,simple_table_signal",12,0.4475,969,0.00388,0.9221,0,419.53
0.3229,0.0049,0,[],[],595.28,0.0,0.2066,15,TEXT_TABLE_FAST,271,"good_text_layer,simple_table_signal",15,0.6875,1453,0.005818,0.8026,0,419.53
0.325,0.0064,0,[],[],595.28,0.0,0.1865,22,TEXT_TABLE_FAST,272,"good_text_layer,simple_table_signal",22,0.725,2175,0.008709,0.8814,0,419.53
0.2521,0.0035,0,[],[],595.28,0.0,0.1584,12,TEXT_TABLE_FAST,273,"good_text_layer,simple_table_signal",12,0.5725,1391,0.00557,0.8746,0,419.53
0.7188,0.0044,0,[],[],595.28,0.0,0.1976,65,TEXT_TABLE_ACCURATE,274,"good_text_layer,complex_table_signal",65,0.875,1604,0.006423,0.9353,0,419.53
0.3875,0.0066,0,[],[],595.28,0.0,0.1794,12,TEXT_TABLE_FAST,275,"good_text_layer,simple_table_signal",12,0.735,2428,0.009722,0.9073,0,419.53
0.55,0.0095,0,[],[],595.28,0.0,0.2065,13,TEXT_TABLE_FAST,276,"good_text_layer,simple_table_signal",13,0.84,2612,0.010459,0.8899,0,419.53
0.2271,0.0075,0,[],[],595.28,0.0,0.1708,13,TEXT_TABLE_FAST,277,"good_text_layer,simple_table_signal",13,0.5525,2260,0.00905,0.8277,0,419.53
0.5417,0.0041,0,[],[],595.28,0.0,0.1705,50,TEXT_TABLE_FAST,278,"good_text_layer,simple_table_signal",50,0.775,1573,0.006299,0.9558,0,419.53
0.4917,0.0035,0,[],[],595.28,0.0,0.1799,47,TEXT_TABLE_FAST,279,"good_text_layer,simple_table_signal",47,0.7375,1290,0.005165,0.9075,0,419.53
0.2792,0.0049,0,[],[],595.28,0.0,0.1591,18,TEXT_TABLE_FAST,280,"good_text_layer,simple_table_signal",18,0.665,1961,0.007852,0.9253,0,419.53
0.5646,0.0072,0,[],[],595.28,0.0,0.2372,22,TEXT_TABLE_FAST,281,"good_text_layer,simple_table_signal",22,1.0,1956,0.007832,0.8936,0,419.53
0.4396,0.0037,0,[],[],595.28,0.0,0.1843,22,TEXT_TABLE_FAST,282,"good_text_layer,simple_table_signal",22,0.8625,1278,0.005117,0.9664,0,419.53
0.55,0.0047,0,[],[],595.28,0.0,0.2307,33,TEXT_TABLE_FAST,283,"good_text_layer,simple_table_signal",33,0.9125,1383,0.005538,0.8624,0,419.53
0.4604,0.0055,0,[],[],595.28,0.0,0.2167,22,TEXT_TABLE_FAST,284,"good_text_layer,simple_table_signal",22,0.8875,2142,0.008577,0.888,0,419.53
0.2938,0.0026,0,[],[],595.28,0.0,0.1473,22,TEXT_TABLE_FAST,285,"good_text_layer,simple_table_signal",22,0.6875,893,0.003576,0.9719,0,419.53
0.6021,0.0046,0,[],[],595.28,0.0,0.2017,43,TEXT_TABLE_ACCURATE,286,"good_text_layer,complex_table_signal",43,0.9,1320,0.005286,0.9381,0,419.53
0.6625,0.0059,0,[],[],595.28,0.0,0.2026,51,TEXT_TABLE_ACCURATE,287,"good_text_layer,complex_table_signal",51,0.9125,1553,0.006219,0.9427,0,419.53
0.9437,0.0064,0,[],[],595.28,0.0,0.2134,71,TEXT_TABLE_ACCURATE,288,"good_text_layer,complex_table_signal",71,1.0,1585,0.006347,0.9617,0,419.53
0.5896,0.0044,0,[],[],595.28,0.0,0.2224,36,TEXT_TABLE_FAST,289,"good_text_layer,simple_table_signal",36,0.9375,1413,0.005658,0.9003,0,419.53
0.5521,0.0033,0,[],[],595.28,0.0,0.1879,50,TEXT_TABLE_FAST,290,"good_text_layer,simple_table_signal",50,0.7875,880,0.003524,0.9132,0,419.53
0.6729,0.0041,0,[],[],595.28,0.0,0.2316,56,TEXT_TABLE_ACCURATE,291,"good_text_layer,complex_table_signal",56,0.8875,1281,0.005129,0.8453,0,419.53
0.2,0.0026,0,[],[],595.28,0.0,0.1419,12,TEXT_TABLE_FAST,292,"good_text_layer,simple_table_signal",12,0.51,927,0.003712,0.886,0,419.53
0.5312,0.0054,0,[],[],595.28,0.0,0.245,35,TEXT_TABLE_FAST,293,"good_text_layer,simple_table_signal",35,0.875,1993,0.00798,0.8,0,419.53
0.6,0.0034,0,[],[],595.28,0.0,0.2061,46,TEXT_TABLE_ACCURATE,294,"good_text_layer,complex_table_signal",46,0.875,1105,0.004425,0.9111,0,419.53
0.2229,0.0053,0,[],[],595.28,0.0,0.1465,14,TEXT_TABLE_FAST,295,"good_text_layer,simple_table_signal",14,0.5575,2231,0.008933,0.9,0,419.53
